time,mz,charge,intensity,RT_length,points,scans,peaks,Tmz,Tintensity,Tmass,Tintensity10,Pintensity,rt_start,rt_end,Ttime,sample,fraction,status,group,mz_error,score,adj_score
16.3,354.77623,5,1092000.0,0.095667,13,9,2,354.77623,20.058541,354.78,6.038223,9e-06,16.252167,16.347833,16.688336,A2,F1,use,354.76_354.79_1,3e-05,0.984768,1.378322
15.9,354.7762,5,461850.0,0.053167,8,5,2,354.7762,18.817065,354.78,5.664501,5e-06,15.873417,15.926583,16.351716,A1,F1,use,354.76_354.79_1,3e-05,0.984768,1.181721
9.44,355.00561,5,332870.0,0.060167,13,9,2,355.00561,18.344599,355.01,5.522275,3e-06,9.409917,9.470083,9.320908,A3,F1,use,354.99_355.02_1,0.00052,0.395041,0.488872
6.04,355.00613,5,271540.0,0.018,4,2,2,355.00613,18.050805,355.01,5.433834,2e-06,6.031,6.049,6.008837,A2,F1,use,354.99_355.02_1,0.00052,0.395041,0.47405
17.8,357.18874,5,2827400.0,0.256667,22,14,3,357.18874,21.431045,357.19,6.451387,2.9e-05,17.671667,17.928333,18.305695,A1,F1,use,357.17_357.2_1,0.00194,0.915844,1.294795
18.2,357.19068,5,2169700.0,0.291667,29,18,2,357.19068,21.049064,357.19,6.3364,1.9e-05,18.054167,18.345833,18.640064,A2,F1,use,357.17_357.2_1,0.00194,0.915844,1.099013
17.9,357.38946,5,5211200.0,0.097833,6,4,2,357.38946,22.313184,357.39,6.716938,4.5e-05,17.851083,17.948917,18.331896,A2,F1,use,357.37_357.4_0,0.00064,0.986332,1.183599
19.1,357.38882,5,725070.0,0.095333,6,5,2,357.38882,19.467761,357.39,5.86038,7e-06,19.052333,19.147667,19.326336,A3,F1,use,357.37_357.4_0,0.00064,0.986332,1.183599
43.4,359.02855,5,2023900.0,0.085333,6,4,2,359.02855,20.948707,359.03,6.306189,2e-05,43.357333,43.442667,31.692344,A3,F1,use,359.01_359.04_1,0.00032,0.989633,1.18756
31.2,359.02823,5,4284100.0,0.077333,6,5,2,359.02823,22.030561,359.03,6.63186,3.7e-05,31.161333,31.238667,31.974803,A2,F1,use,359.01_359.04_1,0.00032,0.989633,1.18756
